"","net_size","t","Method","Graph","MC_Rate","mc_se","Dist","dist_se","count"
"295",54,0.6,"Omnibar","Graph 1",0.11712962962963,0.00734073087622301,3.52511924765523,0.0462989423678487,200
"296",54,0.6,"Omnibar","Graph 2",0.11712962962963,0.00734073087622301,3.52511924765523,0.0462989423678487,200
"297",54,0.7,"Abar","Graph 1",0.150555555555556,0.00787898445839975,2.97869154371705,0.0431418248562017,200
"298",54,0.7,"Abar","Graph 2",0.150555555555556,0.00787898445839975,2.97869154371705,0.0431418248562017,200
"299",54,0.7,"ASE","Graph 1",0.0643518518518519,0.00512800069008112,3.90043163175321,0.0442503229240133,200
"300",54,0.7,"ASE","Graph 2",0.420740740740741,0.00404009313051778,0.602984846113562,0.0225510860347788,200
"301",54,0.7,"Omni","Graph 1",0.0823148148148148,0.0068056544684018,3.7672413003998,0.0462341346293219,200
"302",54,0.7,"Omni","Graph 2",0.268888888888889,0.00802381322534799,2.2085098805744,0.0340812911402063,200
"303",54,0.7,"Omnibar","Graph 1",0.140925925925926,0.00795135472864867,3.15945375848952,0.0431699808297438,200
"304",54,0.7,"Omnibar","Graph 2",0.140925925925926,0.00795135472864867,3.15945375848952,0.0431699808297438,200
"305",54,0.8,"Abar","Graph 1",0.211574074074074,0.00795747227803724,2.56458800180939,0.046198230020224,200
"306",54,0.8,"Abar","Graph 2",0.211574074074074,0.00795747227803724,2.56458800180939,0.046198230020224,200
"307",54,0.8,"ASE","Graph 1",0.0537037037037037,0.0045493694370785,3.99618563646821,0.0461880831284532,200
"308",54,0.8,"ASE","Graph 2",0.4375,0.00339144676106957,0.453464317019063,0.0175065510411819,200
"309",54,0.8,"Omni","Graph 1",0.111759259259259,0.00837626460306545,3.51659358370268,0.0547002003860142,200
"310",54,0.8,"Omni","Graph 2",0.307407407407407,0.00701918646554187,1.86782145658766,0.0337427240127298,200
"311",54,0.8,"Omnibar","Graph 1",0.185555555555556,0.00779282972735908,2.80793333316211,0.0471216668635338,200
"312",54,0.8,"Omnibar","Graph 2",0.185555555555556,0.00779282972735908,2.80793333316211,0.0471216668635338,200
"313",54,0.9,"Abar","Graph 1",0.255,0.00846664263278586,2.25477678315942,0.048702960532329,200
"314",54,0.9,"Abar","Graph 2",0.255,0.00846664263278586,2.25477678315942,0.048702960532329,200
"315",54,0.9,"ASE","Graph 1",0.0534259259259259,0.00521338728467687,4.01737693363232,0.0456938928952379,200
"316",54,0.9,"ASE","Graph 2",0.438240740740741,0.00316770482654334,0.419947952363844,0.0139624233715387,200
"317",54,0.9,"Omni","Graph 1",0.133333333333333,0.00931492665010702,3.31531265196652,0.060660970438599,200
"318",54,0.9,"Omni","Graph 2",0.327592592592592,0.00710749402005477,1.62676908554501,0.0337515626056958,200
"319",54,0.9,"Omnibar","Graph 1",0.220833333333333,0.00889177466882579,2.54781988066941,0.0508923413724046,200
"320",54,0.9,"Omnibar","Graph 2",0.220833333333333,0.00889177466882579,2.54781988066941,0.0508923413724046,200
"321",70,0,"Abar","Graph 1",0.0015,0.000825184925340451,6.84924643781808,0.0526236832574596,200
"322",70,0,"Abar","Graph 2",0.0015,0.000825184925340451,6.84924643781808,0.0526236832574596,200
"323",70,0,"ASE","Graph 1",0.0199285714285714,0.00258958553354887,4.61156986808257,0.0425991547859001,200
"324",70,0,"ASE","Graph 2",0.0297142857142857,0.00410901592795839,4.55325713712163,0.0364564620663113,200
"325",70,0,"Omni","Graph 1",0.00642857142857143,0.00232201522213496,6.18164129176067,0.0463341726902517,200
"326",70,0,"Omni","Graph 2",0.003,0.00080755076758775,6.11188185875093,0.0434599360556469,200
"327",70,0,"Omnibar","Graph 1",0.00142857142857143,0.000816454712528809,6.80141656434926,0.0519343636971865,200
"328",70,0,"Omnibar","Graph 2",0.00142857142857143,0.000816454712528809,6.80141656434926,0.0519343636971865,200
"329",70,0.1,"Abar","Graph 1",0.00321428571428572,0.00113871062207777,6.27801510647948,0.0488163621663899,200
"330",70,0.1,"Abar","Graph 2",0.00321428571428572,0.00113871062207777,6.27801510647948,0.0488163621663899,200
"331",70,0.1,"ASE","Graph 1",0.0225714285714286,0.00284520117499307,4.54644388740333,0.0398961688931564,200
"332",70,0.1,"ASE","Graph 2",0.0624285714285714,0.00547536225621051,3.83591216319366,0.0390989073960637,200
"333",70,0.1,"Omni","Graph 1",0.00414285714285715,0.00154775617409321,5.87133498711016,0.0466350311432327,200
"334",70,0.1,"Omni","Graph 2",0.00942857142857144,0.00202901727100645,5.44349721456258,0.0411823231094244,200
"335",70,0.1,"Omnibar","Graph 1",0.00378571428571429,0.00136798105504325,6.24513143525301,0.0486430607889501,200
"336",70,0.1,"Omnibar","Graph 2",0.00378571428571429,0.00136798105504325,6.24513143525301,0.0486430607889501,200
"337",70,0.2,"Abar","Graph 1",0.00835714285714287,0.00210550723139735,5.74540343149595,0.0449048535813297,200
"338",70,0.2,"Abar","Graph 2",0.00835714285714287,0.00210550723139735,5.74540343149595,0.0449048535813297,200
"339",70,0.2,"ASE","Graph 1",0.0200714285714286,0.00225103242075414,4.56265433579279,0.0370207760916057,200
"340",70,0.2,"ASE","Graph 2",0.149142857142857,0.00857300775115382,3.01440574614782,0.0408413674898036,200
"341",70,0.2,"Omni","Graph 1",0.00664285714285715,0.00143529466033046,5.60664523810977,0.0395279919389217,200
"342",70,0.2,"Omni","Graph 2",0.0189285714285714,0.00232684083864382,4.81707538101367,0.04087005807483,200
"343",70,0.2,"Omnibar","Graph 1",0.0095,0.00252619848827722,5.73463017528625,0.0441362601047799,200
"344",70,0.2,"Omnibar","Graph 2",0.0095,0.00252619848827722,5.73463017528625,0.0441362601047799,200
"345",70,0.3,"Abar","Graph 1",0.0153571428571429,0.00270206851107437,5.33710422308807,0.0419414837292323,200
"346",70,0.3,"Abar","Graph 2",0.0153571428571429,0.00270206851107437,5.33710422308807,0.0419414837292323,200
"347",70,0.3,"ASE","Graph 1",0.0237857142857143,0.00385922612640656,4.56949536609996,0.0381405322433791,200
"348",70,0.3,"ASE","Graph 2",0.233142857142857,0.00843986127448068,2.36386937814763,0.044164122092534,200
"349",70,0.3,"Omni","Graph 1",0.0139285714285714,0.00281089179912516,5.44400889746118,0.0429093122559003,200
"350",70,0.3,"Omni","Graph 2",0.0427857142857143,0.00414521741315431,4.33207676615914,0.034446822234664,200
"351",70,0.3,"Omnibar","Graph 1",0.0137857142857143,0.00240153759756744,5.36079855368609,0.0427949288271005,200
"352",70,0.3,"Omnibar","Graph 2",0.0137857142857143,0.00240153759756744,5.36079855368609,0.0427949288271005,200
"353",70,0.4,"Abar","Graph 1",0.0243571428571429,0.00300035464351685,4.73506695975439,0.0367064526323647,200
"354",70,0.4,"Abar","Graph 2",0.0243571428571429,0.00300035464351685,4.73506695975439,0.0367064526323647,200
"355",70,0.4,"ASE","Graph 1",0.0238571428571429,0.00225788423674485,4.46750842349935,0.0345967549758308,200
"356",70,0.4,"ASE","Graph 2",0.304214285714286,0.00742569764668241,1.60934495401711,0.0420160260973875,200
"357",70,0.4,"Omni","Graph 1",0.0176428571428572,0.00317341003142777,5.06344114006865,0.0366252006585103,200
"358",70,0.4,"Omni","Graph 2",0.0742142857142857,0.00538983563492149,3.73567694962519,0.0307678700336121,200
"359",70,0.4,"Omnibar","Graph 1",0.0246428571428572,0.00338446367990178,4.79870990057352,0.0367910507663006,200
"360",70,0.4,"Omnibar","Graph 2",0.0246428571428572,0.00338446367990178,4.79870990057352,0.0367910507663006,200
"361",70,0.5,"Abar","Graph 1",0.0392142857142857,0.00471851221274192,4.43215959363735,0.0423325322974635,200
"362",70,0.5,"Abar","Graph 2",0.0392142857142857,0.00471851221274192,4.43215959363735,0.0423325322974635,200
"363",70,0.5,"ASE","Graph 1",0.0217142857142857,0.00298521293324181,4.65239254783927,0.041992974087216,200
"364",70,0.5,"ASE","Graph 2",0.388928571428571,0.00556465756392183,1.09171414367729,0.0349364537612544,200
"365",70,0.5,"Omni","Graph 1",0.014,0.00199979488231319,5.01530156380364,0.0427379984831549,200
"366",70,0.5,"Omni","Graph 2",0.1105,0.00639957366734552,3.38652195562088,0.0333315535206041,200
"367",70,0.5,"Omnibar","Graph 1",0.0325,0.00393118101672224,4.54494513947317,0.0431397438833949,200
"368",70,0.5,"Omnibar","Graph 2",0.0325,0.00393118101672224,4.54494513947317,0.0431397438833949,200
"369",70,0.6,"Abar","Graph 1",0.067,0.0054838590874704,3.92255807560456,0.0361705596277229,200
"370",70,0.6,"Abar","Graph 2",0.067,0.0054838590874704,3.92255807560456,0.0361705596277229,200
"371",70,0.6,"ASE","Graph 1",0.0257857142857143,0.00326377314735871,4.51072995548802,0.0380828991633116,200
"372",70,0.6,"ASE","Graph 2",0.417928571428571,0.00421574554637046,0.738525269735805,0.0283532297743791,200
"373",70,0.6,"Omni","Graph 1",0.0183571428571429,0.00251011184424487,4.68026521712831,0.0410362935483739,200
"374",70,0.6,"Omni","Graph 2",0.166214285714286,0.00806291122242962,2.94030135948436,0.0283643298034381,200
"375",70,0.6,"Omnibar","Graph 1",0.0558571428571429,0.00560208401382183,4.08712812391659,0.0372817684592937,200
"376",70,0.6,"Omnibar","Graph 2",0.0558571428571429,0.00560208401382183,4.08712812391659,0.0372817684592937,200
"377",70,0.7,"Abar","Graph 1",0.0887142857142857,0.00677334990204241,3.58462415820044,0.0372646161033928,200
"378",70,0.7,"Abar","Graph 2",0.0887142857142857,0.00677334990204241,3.58462415820044,0.0372646161033928,200
"379",70,0.7,"ASE","Graph 1",0.0183571428571429,0.00203390777642214,4.56106832877359,0.0358134558663194,200
"380",70,0.7,"ASE","Graph 2",0.426571428571429,0.00407855385882364,0.589281849574374,0.0228270167957918,200
"381",70,0.7,"Omni","Graph 1",0.0269285714285714,0.00415594079763473,4.52671995007594,0.039160234726717,200
"382",70,0.7,"Omni","Graph 2",0.206642857142857,0.00764822254994719,2.62612433538717,0.0282075297069633,200
"383",70,0.7,"Omnibar","Graph 1",0.0747857142857143,0.00629658517965279,3.82005808483847,0.0380147117032686,200
"384",70,0.7,"Omnibar","Graph 2",0.0747857142857143,0.00629658517965279,3.82005808483847,0.0380147117032686,200
"385",70,0.8,"Abar","Graph 1",0.146071428571429,0.00783471804799642,3.13879390697928,0.0406276482978838,200
"386",70,0.8,"Abar","Graph 2",0.146071428571429,0.00783471804799642,3.13879390697928,0.0406276482978838,200
"387",70,0.8,"ASE","Graph 1",0.0228571428571429,0.00281374069592914,4.56176660019295,0.039761883485949,200
"388",70,0.8,"ASE","Graph 2",0.440071428571429,0.00318907718806793,0.444605146267733,0.0161814364583627,200
"389",70,0.8,"Omni","Graph 1",0.0394285714285714,0.00420264065719255,4.32590337632868,0.0461013692642524,200
"390",70,0.8,"Omni","Graph 2",0.257928571428571,0.00792566058982138,2.25229100146287,0.0273563849631615,200
"391",70,0.8,"Omnibar","Graph 1",0.109214285714286,0.00697571677688594,3.46655679238245,0.0393420528346743,200
"392",70,0.8,"Omnibar","Graph 2",0.109214285714286,0.00697571677688594,3.46655679238245,0.0393420528346743,200
"393",70,0.9,"Abar","Graph 1",0.208642857142857,0.00808242426451313,2.62968498569207,0.0372991724032704,200
"394",70,0.9,"Abar","Graph 2",0.208642857142857,0.00808242426451313,2.62968498569207,0.0372991724032704,200
"395",70,0.9,"ASE","Graph 1",0.0321428571428572,0.0053526542573961,4.5434490267887,0.0388249402043451,200
"396",70,0.9,"ASE","Graph 2",0.4515,0.00258363835710249,0.345472652816598,0.0123957097628165,200
"397",70,0.9,"Omni","Graph 1",0.0621428571428572,0.00635395800102115,3.99785138443951,0.0424480437776784,200
"398",70,0.9,"Omni","Graph 2",0.299928571428571,0.00694374121030535,1.88994218509139,0.0234083703494256,200
"399",70,0.9,"Omnibar","Graph 1",0.150071428571429,0.00752733881650724,3.06781741557337,0.0358537969873555,200
"400",70,0.9,"Omnibar","Graph 2",0.150071428571429,0.00752733881650724,3.06781741557337,0.0358537969873555,200
"401",90,0,"Abar","Graph 1",0.000166666666666666,9.57402808501032e-05,7.7353998705327,0.046310128032819,200
"402",90,0,"Abar","Graph 2",0.000166666666666666,9.57402808501032e-05,7.7353998705327,0.046310128032819,200
